order_id,order_date,customer_id,customer_segment,customer_type,region,city,product_category,product_subcategory,payment_method,campaign_source,quantity,unit_price,discount_pct,shipping_days,returned
O2025001,2025-04-25,C1198,Consumer,VIP,South,Helsingborg,Beauty,Skincare,Card,Organic,4,33.9,0.182,3.0,Yes
O2025002,2025-12-26,C1212,Corporate,New,South,Malmo,Fashion,Sportswear,,Organic,1,91.08,0.013,2.0,No
O2025003,2025-11-06,C1096,Consumer,Returning,North,Uppsala,Sports,Fitness,PayPal,Organic,1,190.22,0.0,3.0,No
O2025004,2025-10-09,C1160,Consumer,New,East,Orebro,Fashion,Shoes,PayPal,Affiliate,1,144.56,0.042,5.0,No
O2025005,2025-05-02,C1063,Consumer,Returning,East,Linkoping,Beauty,Skincare,Invoice,Paid Search,2,52.01,0.091,4.0,No
O2025006,2025-11-21,C1093,Small Business,Returning,West,Boras,Fashion,Shoes,Card,Paid Search,3,120.84,,4.0,Yes
O2025007,2025-02-27,C1238,Small Business,Returning,West,Gothenburg,Fashion,Shoes,Gift Card,Organic,1,97.55,0.055,1.0,No
O2025008,2025-06-19,C1218,Consumer,VIP,North,Vasteras,Home,Furniture,Invoice,Affiliate,1,1051.52,0.12,5.0,No
O2025009,2025-03-18,C1240,Consumer,Returning,South,Lund,Fashion,Sportswear,Card,Organic,4,82.84,0.041,3.0,No
O2025010,2025-01-01,C1129,Small Business,New,North,Vasteras,Home,Kitchen,Invoice,Social,2,164.19,0.058,5.0,No
O2025011,2025-07-22,C1046,Corporate,New,North,Stockholm,Beauty,Haircare,Gift Card,Social,1,38.97,0.028,2.0,No
O2025012,2025-01-15,C1093,Small Business,Returning,West,Boras,Sports,Team Sports,Invoice,Social,1,105.58,0.045,4.0,No
O2025013,2025-05-27,C1089,Consumer,Returning,South,Lund,Fashion,Jackets,Swish,Social,1,203.5,0.055,2.0,No
O2025014,2025-02-15,C1042,Consumer,Returning,North,Uppsala,Home,Lighting,,Email,1,162.61,0.137,4.0,No
O2025015,2025-09-28,C1052,Consumer,Returning,West,Boras,Sports,Team Sports,Card,Social,1,96.08,0.088,3.0,No
O2025016,2025-12-14,C1141,Small Business,Returning,South,Malmo,Beauty,Skincare,PayPal,direct,1,44.96,0.002,5.0,No
O2025017,2025-06-11,C1164,Corporate,Returning,East,Linkoping,Home,Kitchen,Swish,Direct,2,81.77,0.032,5.0,No
O2025018,2025-11-30,C1162,Consumer,Returning,South,Helsingborg,Fashion,Jackets,Card,Paid Search,1,175.92,0.143,3.0,No
O2025019,2025-07-28,C1043,Corporate,New,South,Lund,Beauty,Fragrance,Card,Organic,1,73.27,0.0,2.0,No
O2025020,2025-01-10,C1109,Small Business,Returning,South,,Beauty,Makeup,Card,Affiliate,1,45.73,0.107,3.0,No
O2025021,2025-12-24,C1184,Small Business,Returning,North,Vasteras,Fashion,Sportswear,Swish,Social,1,90.24,0.014,4.0,Yes
O2025022,2025-09-07,C1189,Consumer,New,South,Helsingborg,Home,Kitchen,Card,Social,1,143.93,0.068,3.0,No
O2025023,2025-06-18,C1243,Consumer,Returning,East,Linkoping,Sports,Outdoor,Card,Direct,2,109.34,0.043,6.0,No
O2025024,2025-04-23,C1138,Consumer,New,North,Stockholm,Fashion,Shoes,Swish,Social,2,103.55,0.036,2.0,No
O2025025,2025-04-08,C1214,Corporate,Returning,South,Lund,Sports,Fitness,Swish,Organic,1,343.08,0.036,4.0,No
O2025026,2025-02-03,C1080,Consumer,New,North,Stockholm,Electronics,Laptop,Card,Organic,1,1272.53,0.081,5.0,No
O2025027,2025-09-13,C1257,Consumer,Returning,North,Uppsala,Fashion,Shoes,PayPal,Direct,1,110.05,0.0,1.0,No
O2025028,2025-06-13,C1246,Small Business,Returning,West,Boras,Fashion,Jackets,Card,Social,1,292.87,0.025,2.0,No
O2025029,2025-08-15,C1067,Small Business,Returning,West,Halmstad,Sports,Fitness,Invoice,Email,1,251.89,0.021,4.0,No
O2025030,2025-10-29,C1219,Consumer,New,North,Stockholm,Beauty,Fragrance,Invoice,Paid Search,1,74.62,0.057,4.0,No
O2025031,2025-08-24,C1123,Small Business,Returning,East,Orebro,Sports,Cycling,Card,Organic,1,468.34,0.057,4.0,No
O2025032,2025-03-07,C1083,Consumer,VIP,North,Vasteras,Electronics,Headphones,,,1,233.21,0.084,1.0,No
O2025033,2025-05-11,C1013,Consumer,Returning,West,Halmstad,Electronics,Mobile,Invoice,Affiliate,2,414.67,0.147,3.0,No
O2025034,2025-01-23,C1084,Corporate,VIP,East,Linkoping,Fashion,Sportswear,Invoice,Paid Search,1,58.56,0.006,4.0,No
O2025035,2025-10-22,C1206,Consumer,New,East,Orebro,Home,Decor,Invoice,Direct,1,123.8,0.107,5.0,No
